Diện tích,Mức giá,Mặt tiền,Pháp lý,Khu vực,Loại bất động sản,Đường vào,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Hướng nhà
89 m²,Thỏa thuận,,Hợp đồng mua bán,Long Biên,Căn hộ chung cư,,Tây - Bắc,2 phòng,2 phòng,Cơ bản,,Đông - Nam
54 m²,11 tỷ,4 m,,Hà Đông,Nhà riêng,10 m,,4 phòng,4 phòng,,5 tầng,
40 m²,"6,8 tỷ","5,8 m",Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,"3,5 m",,4 phòng,3 phòng,Cơ bản.,5 tầng,
90 m²,"32,7 tỷ",,Sổ đỏ,Tây Hồ,Nhà mặt phố,,,8 phòng,,,6 tầng,
81 m²,Thỏa thuận,"4,5 m",Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,,,,,,,
"56,6 m²","4,25 tỷ","4,2 m",Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,,,,,,,
72 m²,"5,4 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
62 m²,13 tỷ,"3,6 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,5 m,,3 phòng,3 phòng,Cơ bản.,3 tầng,
138 m²,31 tỷ,"4,2 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,17 m,,10 phòng,7 phòng,,7 tầng,Đông
105 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Nam,2 phòng,1 phòng,Đầy đủ.,,Tây - Bắc
36 m²,"14,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,,,4 phòng,3 phòng,,4 tầng,
72 m²,"3,25 tỷ",,Hợp đồng mua bán,Hà Đông,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Cơ bản,,Tây
50 m²,"13,7 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,3 phòng,,Đầy đủ,7 tầng,
98 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
93 m²,"4,3 tỷ",,,Gia Lâm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,
280 m²,41 triệu/m²,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,4 phòng,4 phòng,Đầy đủ,,Tây - Bắc
30 m²,"7,6 tỷ",5 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,5 m,,,,Đầy đủ,5 tầng,
55 m²,"2,58 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,2 phòng,1 phòng,Đầy đủ,,
152 m²,"8,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Nam,3 phòng,3 phòng,Đầy đủ,,Bắc
"30,1 m²","5,95 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,5 m,Nam,4 phòng,2 phòng,Đầy đủ,5 tầng,Đông
"73,2 m²","8,57 tỷ","4,44 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,24 m,,,,,,Tây - Nam
62 m²,"13,2 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,5 m,,2 phòng,,Đầy đủ.,3 tầng,
352 m²,"69,8 tỷ",,,Long Biên,"Nhà biệt thự, liền kề",,,,,,3 tầng,
33 m²,"3,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,3 m,Nam,4 phòng,4 phòng,Đầy đủ.,5 tầng,Nam
107 m²,"7,6 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Đông - Bắc
160 m²,Thỏa thuận,10 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,"Nhà biệt thự, liền kề",12 m,,6 phòng,6 phòng,Đầy đủ,5 tầng,
"79,3 m²",Thỏa thuận,6 m,Hợp đồng mua bán,Hoài Đức,"Nhà biệt thự, liền kề",,,5 phòng,4 phòng,,4 tầng,
80 m²,36 tỷ,"4,8 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,20 m,Đông,9 phòng,9 phòng,Cơ bản,9 tầng,Đông
"100,7 m²","6,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
105 m²,Thỏa thuận,5 m,Sổ đỏ,Gia Lâm,Bán đất,7 m,,,,,,
140 m²,55 triệu/m²,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
135 m²,Thỏa thuận,,,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,"Nội thất đầy đủ,",,
68 m²,"10,1 tỷ","3,4 m",Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,3 phòng,3 phòng,,6 tầng,
108 m²,"5,25 tỷ",,Hợp đồng mua bán.,Nam Từ Liêm,Căn hộ chung cư,,,,,,,
57 m²,"7,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Ba Đình,Bán đất,,,,,,,
50 m²,18 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,4 phòng,5 phòng,Đầy đủ,7 tầng,
102 m²,"4,3 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Bắc,3 phòng,2 phòng,Đầy đủ,,Tây - Nam
46 m²,"8,3 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,4 phòng,3 phòng,,4 tầng,
232 m²,42 tỷ,10 m,Sổ đỏ.,Hoàng Mai,"Nhà biệt thự, liền kề",8 m,,5 phòng,4 phòng,,4 tầng,
200 m²,145 tỷ,10 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,25 m,,,,Cơ bản,1 tầng,
145 m²,112 tỷ,"7,3 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,,,,,,5 tầng,
53 m²,20 tỷ,"5,3 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà mặt phố,10 m,,,,Đầy đủ,6 tầng,
49 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,,11 phòng,11 phòng,Cơ bản,6 tầng,
80 m²,Thỏa thuận,"4,9 m",Sổ đỏ/ Sổ hồng.,Mê Linh,Bán đất,8 m,,,,,,Tây
68 m²,"24,6 tỷ",,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà mặt phố,,,,,,5 tầng,
46 m²,12 tỷ,,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,,,4 phòng,5 phòng,,6 tầng,
50 m²,"12,3 tỷ",4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,6 m,,4 phòng,4 phòng,,5 tầng,
52 m²,12 tỷ,"6,5 m",Sổ đỏ chính chủ,Bắc Từ Liêm,Nhà riêng,"3,5 m",,15 phòng,,Full nội thất,6 tầng,
101 m²,Thỏa thuận,,Đang chờ sổ,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,,Đầy đủ,,
65 m²,"6,3 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,3 phòng,3 phòng,Đầy đủ,4 tầng,
47 m²,2 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Oai,Nhà riêng,3 m,,2 phòng,2 phòng,Không nội thất,3 tầng,Đông - Nam
110 m²,25 tỷ,5 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà mặt phố,10 m,,5 phòng,5 phòng,Đầy đủ,5 tầng,
120 m²,Thỏa thuận,"5,6 m",Sổ đỏ/ Sổ hồng.,Long Biên,Nhà mặt phố,25 m,,,,Đầy đủ.,7 tầng,
72 m²,"4,2 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ.,,
120 m²,"14,9 tỷ",,Sổ đỏ/ Sổ hồng.,Long Biên,Nhà riêng,,,6 phòng,5 phòng,,4 tầng,
76 m²,"1,66 tỷ",,Hợp đồng mua bán,Hà Đông,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Cơ bản,,Đông - Nam
96 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Trì,Nhà riêng,10 m,,11 phòng,11 phòng,Đầy đủ,5 tầng,
210 m²,Thỏa thuận,15 m,Hợp đồng mua bán,Hoài Đức,"Shophouse, nhà phố thương mại",40 m,Đông - Bắc,,,,1 tầng,Đông - Bắc
93 m²,"5,1 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Đông - Bắc
420 m²,78 tỷ,,,Hoài Đức,"Nhà biệt thự, liền kề",,,,,Full nội thất.,4 tầng,
60 m²,"13,8 tỷ","4,5 m",Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,,,,,,,
130 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,"Shophouse, nhà phố thương mại",,Đông - Nam,1 phòng,2 phòng,,2 tầng,
50 m²,"5,8 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,12 m,,,,,,Đông
55 m²,"4,45 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,,,,,,,
60 m²,"14,9 tỷ",10 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,6 phòng,7 phòng,Đầy đủ,5 tầng,
65 m²,"12,8 tỷ","5,5 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,4 m,,,,,4 tầng,Nam
45 m²,"8,99 tỷ","6,2 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,,,,,,5 tầng,
"101,09 m²","5,1 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,Đông - Nam
80 m²,"11,8 tỷ","4,4 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,4 m,,4 phòng,5 phòng,Đầy đủ,4 tầng,
32 m²,"5,9 tỷ","4,3 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,2 m,Tây,3 phòng,4 phòng,Đầy đủ,5 tầng,Tây
266 m²,"75,9 tỷ",8 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,,,4 phòng,4 phòng,Xịn xò,4 tầng,
185 m²,"16,5 tỷ",,,Nam Từ Liêm,"Shophouse, nhà phố thương mại",,,,,,,
119 m²,Thỏa thuận,,,Bắc Từ Liêm,Căn hộ chung cư,,Đông,3 phòng,2 phòng,,,
100 m²,21 tỷ,5 m,,Thanh Trì,"Nhà biệt thự, liền kề",,,,,,5 tầng,
62 m²,Thỏa thuận,,,Gia Lâm,Căn hộ chung cư,,,,,,,
50 m²,"18,6 tỷ",4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,4 m,,4 phòng,,Đầy đủ,7 tầng,
62 m²,"10,9 tỷ",9 m,Sổ đỏ.,Long Biên,Nhà riêng,5 m,,5 phòng,4 phòng,,5 tầng,
70 m²,"2,9 tỷ",,Sổ đỏ/ Sổ hồng.,Gia Lâm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ.,,
101 m²,33 tỷ,7 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,,,4 phòng,4 phòng,Đầy đủ,3 tầng,
45 m²,"9,35 tỷ",4 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,5 m,,3 phòng,5 phòng,Đầy đủ,6 tầng,Tây
300 m²,152 tỷ,8 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,35 m,,4 phòng,4 phòng,Cơ bản,4 tầng,
100 m²,"68,5 tỷ",10 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,20 m,,5 phòng,10 phòng,Đầy đủ,10 tầng,
51 m²,"19,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,7 phòng,6 phòng,Cơ bản.,7 tầng,
47 m²,"2,14 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,,1 phòng,1 phòng,Cơ bản,,
48 m²,152 triệu/m²,"4,14 m",Sổ đỏ/ Sổ hồng.,Hoài Đức,Bán đất,16 m,,,,,,Đông
100 m²,63 tỷ,"4,1 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,,,,,,2 tầng,
100 m²,Thỏa thuận,5 m,Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,,,,,,,Đông - Nam
47 m²,"4,88 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,5 phòng,3 phòng,Cơ bản,4 tầng,Tây - Bắc
"71,4 m²",18 tỷ,,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",10 m,Đông - Bắc,4 phòng,5 phòng,Đầy đủ,5 tầng,Đông - Bắc
288 m²,Thỏa thuận,16 m,Sổ đỏ/ Sổ hồng,Gia Lâm,"Nhà biệt thự, liền kề",13 m,Đông - Nam,4 phòng,4 phòng,Đầy đủ,4 tầng,Đông - Nam
140 m²,"10,5 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
80 m²,"4,1 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Bắc,2 phòng,,Đầy đủ,,Tây - Nam
90 m²,"13,3 tỷ",4 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,3 m,,5 phòng,3 phòng,Đầy đủ,3 tầng,
"74,2 m²","10,2 tỷ",5 m,Sổ đỏ/ Sổ hồng,Thường Tín,"Nhà biệt thự, liền kề",33 m,,,,Không nội thất,,
42 m²,"3,33 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,3 m,,4 phòng,4 phòng,Đầy đủ,4 tầng,
50 m²,"9,4 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,12 phòng,12 phòng,Đầy đủ,5 tầng,
30 m²,"4,8 tỷ","4,6 m",Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,2 m,,3 phòng,4 phòng,Cơ bản,5 tầng,
105 m²,58 triệu/m²,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Nam,3 phòng,2 phòng,Đầy đủ,,Bắc
193 m²,"16,5 tỷ",,,Bắc Từ Liêm,Căn hộ chung cư,,,5 phòng,4 phòng,,,
50 m²,Thỏa thuận,"5,2 m",,Hà Đông,Bán đất,,,,,,,
90 m²,"32,5 tỷ",6 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,5 m,,10 phòng,10 phòng,Đầy đủ,9 tầng,
30 m²,"3,98 tỷ","3,6 m",Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,,,,4 tầng,
141 m²,43 triệu/m²,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,4 phòng,3 phòng,Đầy đủ,,Bắc
75 m²,"16,9 tỷ","5,4 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,"2,5 m",,20 phòng,20 phòng,Đầy đủ,7 tầng,
98 m²,"10,95 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,,,Cơ bản,,
80 m²,"14,9 tỷ","4,8 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,6 phòng,,Đầy đủ,5 tầng,
"186,2 m²","33,5 tỷ",,Sổ đỏ/ Sổ hồng,Hoài Đức,"Nhà biệt thự, liền kề",,,,,,,Tây - Nam
138 m²,37 tỷ,,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,,,4 phòng,,Đầy đủ,4 tầng,
40 m²,"7,6 tỷ","3,3 m",Sổ đỏ.,Hoàng Mai,Nhà riêng,"2,5 m",,3 phòng,4 phòng,,5 tầng,
69 m²,"14,8 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,14 phòng,14 phòng,,8 tầng,
215 m²,"14,5 tỷ",7 m,Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,7 m,,,,,,
"79,9 m²","1,05 tỷ","4,8 m",Sổ đỏ/ Sổ hồng.,Quốc Oai,Bán đất,"3,5 m",,,,,,Tây - Bắc
178 m²,Thỏa thuận,9 m,Sổ đỏ lâu dài.,Long Biên,"Nhà biệt thự, liền kề",25 m,,4 phòng,4 phòng,,3 tầng,
100 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Căn hộ chung cư,,Đông,3 phòng,2 phòng,Đầy đủ,,Bắc
40 m²,"7,5 tỷ","4,8 m",Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,,,5 phòng,3 phòng,Đầy đủ,4 tầng,
47 m²,"2,2 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,Tây - Nam,1 phòng,1 phòng,Đầy đủ.,,
192 m²,42 tỷ,,,Long Biên,"Nhà biệt thự, liền kề",,,,,,,Đông - Nam
40 m²,"2,28 tỷ",4 m,,Chương Mỹ,Nhà riêng,5 m,Đông,3 phòng,3 phòng,,4 tầng,Đông
"31,76 m²","6,3 tỷ",3 m,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,2 m,Đông - Bắc,4 phòng,2 phòng,Đầy đủ.,4 tầng,Đông - Bắc
"57,1 m²","2,8 tỷ","4,2 m",Sổ đỏ/ Sổ hồng.,Gia Lâm,Bán đất,3 m,,,,,,Đông - Nam
69 m²,"33,5 tỷ","5,2 m",,Cầu Giấy,Nhà riêng,,,,,,7 tầng,
72 m²,138 triệu/m²,5 m,Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,11 m,,,,,,Tây - Nam
112 m²,"10,8 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
,,,,,,,,,,,,
65 m²,19 tỷ,"4,5 m",Đang chờ sổ,Cầu Giấy,Nhà riêng,,,7 phòng,5 phòng,Đầy đủ,5 tầng,
,,,,,,,,,,,,
75 m²,26 tỷ,,,Đông Anh,"Nhà biệt thự, liền kề",,,,,,,
410 m²,60 triệu/m²,,Sổ đỏ/ Sổ hồng,Mê Linh,"Nhà biệt thự, liền kề",,,4 phòng,,,3 tầng,
81 m²,"4,89 tỷ",,Hợp đồng mua bán.,Nam Từ Liêm,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Đầy đủ.,,Tây - Nam
58 m²,"3,65 tỷ","4,2 m",Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,3 m,,,,,,
51 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Thanh Trì,Bán đất,7 m,,,,,,
63 m²,11 tỷ,8 m,,Tây Hồ,"Shophouse, nhà phố thương mại",,,,,,,
47 m²,Thỏa thuận,,,Đông Anh,Bán đất,,,,,,,
70 m²,"15,5 tỷ",5 m,Sổ đỏ,Nam Từ Liêm,Nhà riêng,,,,,,4 tầng,
519 m²,"4,9 tỷ",12 m,,Quốc Oai,Bán đất,6 m,,,,,,Tây - Bắc
174 m²,"2,3 tỷ",6 m,Sổ đỏ/ Sổ hồng,Ba Vì,Bán đất,12 m,,,,,,Tây - Bắc
110 m²,"6,3 tỷ",,Sổ đỏ chính chủ.,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,"Đầy đủ Do xác định để ở nên tôi đầu tư rất tâm huyết, nội thất tân cổ điển rất đẹp. Gia đình tôi sẽ để lại toàn bộ nội thất nếu khách có nhu cầu. Do xác định để ở nên tôi đầu tư rất tâm huyết, nội thấ",,
57 m²,850 triệu,,Sổ đỏ/ Sổ hồng,Thanh Xuân,"Chung cư mini, căn hộ dịch vụ",,Đông - Nam,2 phòng,1 phòng,Nội thất đầy đủ về ở ngay.,,Tây
31 m²,"4,7 tỷ",4 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,2 m,,3 phòng,3 phòng,Đầy đủ,3 tầng,
165 m²,35 tỷ,"9,2 m",Sổ đỏ/ Sổ hồng,Gia Lâm,"Nhà biệt thự, liền kề",13 m,Tây - Bắc,5 phòng,4 phòng,,4 tầng,Tây - Bắc
158 m²,Thỏa thuận,8 m,Sổ đỏ/ Sổ hồng.,Long Biên,"Nhà biệt thự, liền kề",25 m,Đông - Nam,4 phòng,4 phòng,Đầy đủ,4 tầng,Tây - Nam
75 m²,30 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,,9 tầng,
"72,8 m²",46 triệu/m²,4 m,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,"2,8 m",,,,,,Đông - Bắc
103 m²,"9,8 tỷ",,HĐMB,Ba Đình,Căn hộ chung cư,,Tây - Bắc,2 phòng,2 phòng,"2PN căn góc view hồ, view Thành công",,Tây - Nam
,,,,,,,,,,,,
60 m²,"14,5 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,5 phòng,4 phòng,Đầy đủ,4 tầng,
50 m²,15 tỷ,5 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,6 phòng,7 phòng,Đầy đủ,7 tầng,Đông - Nam
60 m²,"6,7 tỷ",6 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,5 m,,,,,,
50 m²,"9,1 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,,,,,
38 m²,"4,8 tỷ",,Sổ đỏ/ Sổ hồng.,Long Biên,Nhà riêng,,,,,,4 tầng,
114 m²,"6,7 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Căn hộ chung cư,,Tây - Nam,4 phòng,2 phòng,Đầy đủ,,Tây - Nam
72 m²,"3,25 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Căn hộ chung cư,,Tây - Nam,2 phòng,1 phòng,Đầy đủ.,,Đông - Bắc
"162,5 m²",165 tỷ,,Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Nhà mặt phố,25 m,Tây - Bắc,,,Đầy đủ,10 tầng,Tây - Bắc
33 m²,"6,5 tỷ",5 m,,Tây Hồ,Nhà riêng,3 m,,,,Đầy đủ,5 tầng,
53 m²,"17,3 tỷ",5 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,4 phòng,5 phòng,Đầy đủ.,7 tầng,
220 m²,97 triệu/m²,,Hợp đồng mua bán,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,Không nội thất,,
86 m²,5 tỷ,,Sổ đỏ/sổ hồng.,Thanh Xuân,Căn hộ chung cư,,,2 phòng,2 phòng,,,
47 m²,Thỏa thuận,,- Hình thức sở hữu: Sổ đỏ lâu dài - Pháp lý rõ ràng.,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,1 phòng,"Không nội thất - Tiêu chuẩn bàn giao cao cấp vượt trội (bao gồm: Thiết bị vệ sinh đầy đủ, trần thạch cao, full sàn gỗ, điều hòa Multi hai chiều, hệ thống điện đầy đủ, khóa cửa thông minh bằng vân tay,",,
455 m²,"81,7 tỷ","9,5 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,,,,,,1 tầng,
71 m²,"4,35 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Tây - Nam,2 phòng,2 phòng,Đầy đủ,,Đông - Bắc
"79,4 m²","3,75 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,Đồ cơ bản.,,
60 m²,"1,4 tỷ","4,5 m",Sổ đỏ/ Sổ hồng,Sơn Tây,Bán đất,7 m,,,,,,
36 m²,"3,6 tỷ",,,Nam Từ Liêm,Căn hộ chung cư,,,1 phòng,1 phòng,"- Diện tích Studio, full nội thất cao cấp.",,
270 m²,83 tỷ,11 m,,Nam Từ Liêm,Nhà mặt phố,,,,,,8 tầng,
50 m²,"9,4 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,108 m,,,,,,
85 m²,Thỏa thuận,,Hợp đồng mua bán,Đông Anh,"Shophouse, nhà phố thương mại",,,,,,,
82 m²,Thỏa thuận,,,Thanh Trì,Nhà riêng,,,,,,,
40 m²,"7,4 tỷ",,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,,,,4 tầng,
60 m²,"4,7 tỷ","4,5 m",Sổ đỏ/ Sổ hồng,Thanh Trì,Nhà riêng,,,3 phòng,3 phòng,,3 tầng,
36 m²,135 triệu/m²,"3,4 m",Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Bán đất,,,,,,,
95 m²,5 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
45 m²,8 tỷ,5 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,4 m,,3 phòng,3 phòng,Đầy đủ,4 tầng,
75 m²,Thỏa thuận,"7,7 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,4 m,,,,,,Đông - Bắc
46 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,,,Cơ bản,3 tầng,
100 m²,34 triệu/m²,5 m,Sổ đỏ/ Sổ hồng,Mê Linh,Bán đất,,,,,,,
32 m²,"5,85 tỷ",,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,3 phòng,4 phòng,,5 tầng,
115 m²,32 tỷ,5 m,Sổ đỏ,Hà Đông,Nhà mặt phố,40 m,,6 phòng,6 phòng,Đầy đủ,5 tầng,
"63,6 m²",132 triệu/m²,"4,1 m",Sổ đỏ/ Sổ hồng.,Hoài Đức,Bán đất,11 m,,,,,,Đông - Bắc
69 m²,"3,5 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ.,,Tây - Bắc
50 m²,"12,8 tỷ",,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,11 phòng,11 phòng,Đầy đủ.,7 tầng,
72 m²,33 tỷ,6 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,,7 tầng,
51 m²,18 tỷ,7 m,Sổ đỏ chính chủ,Ba Đình,Nhà mặt phố,,,4 phòng,,,5 tầng,
35 m²,"4,85 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,,,,5 tầng,
54 m²,"5,1 tỷ",,Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,,,,,,,
